Order_orig.	Familiy_orig.	Orig._comb.		Described_as	Name	Author	Year	Page	Bar code	Type kind	Are we sure it is a published name?	Conserved as	Where	Associated preparation numbers	Labeled as type	Label(s)	Specimens	Males	Females	Larvae	Pupae	Original description checked?	Author(s)	Year	Title	Reference	Editors	Place	Periodicle	Publisher	Volume	Pages	Expedition	Country	Years	Province/Region/State	District/County/Municip.	This is type locality	Order.	Family	Genus	Combination	Author and year	Status	Reference to curr. taxonomy	Reference to publication of lectotype	Date	Remarks	Recorder	Locality	Country	Invalid details	Current combination established by	Record_ID	Search by bar code	Copy
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001859		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 27"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10053 ZM.Oslo"	1	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			860		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001854	Lectotype	FALSE	Pinned	Pinned type collection		TRUE	"Kongsberg Munster.", "Lectotypus"(red label), "kongsbergensis Munst. female T. Nyholm det.", "från 74 37"	1	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			859		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001853		FALSE	Pinned	Pinned type collection		TRUE	"1:Hofsrød, Idd 7.25, Munster.", "male", "TYPUS"(red label), "Cyphon kongsbergensis"	1	0	0	0	0	FALSE																	Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan					858		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001855		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 29"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10053 b Z.M.Oslo"	2	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			793		0
Coleoptera		Dermestes atomaria		Species	atomaria	DeGeer	1774	218	10002299	Neotype	TRUE	Pinned	Pinned type collection		FALSE	("Dlr. St. Tuna 20.9.55 Leg. O. Sjøberg", "Neotype designated E. Sundt II - 1964", "Neotype Acrotrichis atomaria DeGeer, 1774", g, 66.I Foto E. Sundt", "Acrotrichis atomaria DeG  det. Sörensson (SRES) 1989")	1	1	0	0	0	FALSE														Dalarna			Coleoptera	Ptiliidae	Acrotrichis	Acrotrichis atomaria	DeGeer, 1774				15.12.2005	Noen av de håndskrevne tallene uklart skrevet. Eksemplaret fra Sundts samling.	Kvamme, Torstein	St. Tuna	Sweden			1106		0
Coleoptera		Eudectus novayae-zemlyae		Species	novayae-zemlyae	Münster	0	0	10002041		FALSE	Pinned	Pinned type collection		TRUE	"Novaj. Semlja 207", Økland", "Eudectus novayae-zemlyae Munst.", "Typus (red label)"	0	0	0	0	0	FALSE											Novaja Semlya	Russia	1921												12.10.2005		Lønnve, Ole					358		
Coleoptera		Eudectus novayae-zemlyae		Species	novayae-zemlyae	Münster	0	0	10002040		FALSE	Pinned	Pinned type collection		TRUE	"Novaj. Semlja 170", "Økland", "Typus (red label)"	1	0	0	0	0	FALSE											Novaja Semlya	Russia	1921												12.10.2005		Lønnve, Ole					357		
Coleoptera		Haliplus confinis forma hellieseni		Form	confinis forma hellieseni	Münster	1922	0	10001925		FALSE	Pinned	Pinned type collection		TRUE	"Lister, X-21. Munster", "TYPUS"(red label), "Hal. confinis Hellieseni typ."	1	0	0	0	0	FALSE																	Coleoptera	Haliplidae	Haliplus	Haliplus confinis	Stephens, 1828				07.11.2005		Olberg, Stefan					944		0
Coleoptera		Haliplus fulvus var sparreschneideri		Variation	fulvus var sparreschneideri	Münster	1922	0	10001917		FALSE	Pinned	Pinned type collection		FALSE	"Bjerkeng", "Målselvdal 07, Münster"	1	0	0	0	0	FALSE														Troms	Målselv		Coleoptera	Haliplidae	Haliplus	Haliplus fulvus	Fabricius, 1801				07.11.2005		Olberg, Stefan	Bjørkeng	Norway			926		0
Coleoptera		Haliplus fulvus var sparreschneideri		Variation	fulvus var sparreschneideri	Münster	1922	0	10001918		FALSE	Pinned	Pinned type collection		FALSE	"Bjerkeng", "ex.coll. Munster"	1	0	0	0	0	FALSE														Troms	Målselv		Coleoptera	Haliplidae	Haliplus	Haliplus fulvus	Fabricius, 1801				07.11.2005		Olberg, Stefan	Bjørkeng	Norway			925		0
